Constantine Lv.6,Council's Hubris Lv.6,Dreamhaunter Lv.6,Razor Pinion Lv.6,Razor Pinion Lv.6,Sacred Sanctuary Lv.6,Jyack Lv.6,Styxasis Lv.6,Noble Defiance Lv.6,Noble Defiance Lv.6

Constantine Lv.6,Council's Hubris Lv.6,Dreamhaunter Lv.6,Razor Pinion Lv.6,Razor Pinion Lv.6,Sacred Sanctuary Lv.6,Jyack Lv.6,Styxasis Lv.6,Scorched Hellwing Lv.6,Scorched Hellwing Lv.6

Constantine Lv.6,Council's Hubris Lv.6,Dreamhaunter Lv.6,Razor Pinion Lv.6,Razor Pinion Lv.6,Sacred Sanctuary Lv.6,Jyack Lv.6,Styxasis Lv.6,Bolt Crag Lv.6,Noble Defiance Lv.6,Noble Defiance Lv.6

Constantine Lv.6,Council's Hubris Lv.6,Dreamhaunter Lv.6,Razor Pinion Lv.6,Razor Pinion Lv.6,Sacred Sanctuary Lv.6,Jyack Lv.6,Styxasis Lv.6,Scorched Hellwing Lv.6,Scorched Hellwing Lv.6,Noble Defiance Lv.6

Constantine Lv.6,Council's Hubris Lv.6,Dreamhaunter Lv.6,Razor Pinion Lv.6,Razor Pinion Lv.6,Sacred Sanctuary Lv.6,Jyack Lv.6,Styxasis Lv.6,Cockatrice Baxis Lv.6,Scorched Hellwing Lv.6,Scorched Hellwing Lv.6

Constantine Lv.6,Council's Hubris Lv.6,Dreamhaunter Lv.6,Razor Pinion Lv.6,Razor Pinion Lv.6,Sacred Sanctuary Lv.6,Jyack Lv.6,Styxasis Lv.6,Scorched Hellwing Lv.6,Scorched Hellwing Lv.6,Serraco Sire Lv.6

Nexor Lv.6,Dreamhaunter Lv.6,Styxasis Lv.6,Cockatrice Baxis Lv.6,Scorched Hellwing Lv.6,Oreworks Lv.6,Scorched Hellwing Lv.6,Oreworks Lv.6,Serraco Sire Lv.6

Nexor Lv.6,Dreamhaunter Lv.6,Styxasis Lv.6,Cockatrice Baxis Lv.6,Scorched Hellwing Lv.6,Oreworks Lv.6,Scorched Hellwing Lv.6,Oreworks Lv.6

Nexor Lv.6,Dreamhaunter Lv.6,Styxasis Lv.6,Cockatrice Baxis Lv.6,Scorched Hellwing Lv.6,Scorched Hellwing Lv.6,Serraco Sire Lv.6

